# time, signal
1.042000000000000010e-01,8.799926000000000137e-01
1.044000000000000067e-01,7.999926000000000537e-01
1.045999999999999985e-01,1.119993000000000016e+00
1.048000000000000043e-01,1.039992999999999945e+00
1.050000000000000100e-01,1.279992999999999936e+00
1.052000000000000018e-01,1.119993000000000016e+00
1.054000000000000076e-01,1.439993000000000078e+00
1.055999999999999994e-01,1.279992999999999936e+00
1.058000000000000052e-01,1.599992999999999999e+00
1.060000000000000109e-01,1.599992999999999999e+00
1.062000000000000027e-01,1.359993000000000007e+00
1.064000000000000085e-01,1.519992999999999927e+00
1.066000000000000003e-01,1.679993000000000070e+00
1.068000000000000060e-01,1.679993000000000070e+00
1.070000000000000118e-01,1.599992999999999999e+00
1.072000000000000036e-01,1.599992999999999999e+00
1.074000000000000093e-01,1.679993000000000070e+00
1.076000000000000012e-01,1.679993000000000070e+00
1.078000000000000069e-01,1.519992999999999927e+00
1.079999999999999988e-01,1.519992999999999927e+00
1.082000000000000045e-01,1.679993000000000070e+00
1.084000000000000102e-01,1.599992999999999999e+00
1.086000000000000021e-01,1.359993000000000007e+00
1.088000000000000078e-01,1.359993000000000007e+00
1.089999999999999997e-01,1.599992999999999999e+00
1.092000000000000054e-01,1.439993000000000078e+00
1.094000000000000111e-01,1.279992999999999936e+00
1.096000000000000030e-01,1.359993000000000007e+00
1.098000000000000087e-01,1.119993000000000016e+00
1.100000000000000006e-01,1.199993000000000087e+00
1.102000000000000063e-01,1.039992999999999945e+00
1.104000000000000120e-01,1.119993000000000016e+00
1.106000000000000039e-01,7.999926000000000537e-01
1.108000000000000096e-01,9.599925999999999737e-01
1.110000000000000014e-01,7.199925999999999826e-01
1.112000000000000072e-01,7.199925999999999826e-01
1.113999999999999990e-01,5.599927000000000099e-01
1.116000000000000048e-01,6.399926999999999699e-01
1.118000000000000105e-01,3.199927000000000188e-01
1.120000000000000023e-01,3.999926999999999788e-01
1.122000000000000081e-01,2.399927000000000032e-01
1.123999999999999999e-01,3.199927000000000188e-01
1.126000000000000056e-01,-7.271767000000000134e-06
1.128000000000000114e-01,7.999272999999999800e-02
1.130000000000000032e-01,-2.400073000000000067e-01
1.132000000000000089e-01,-8.000727000000000533e-02
1.134000000000000008e-01,-4.000072000000000072e-01
1.136000000000000065e-01,-3.200072999999999945e-01
1.138000000000000123e-01,-4.800072000000000227e-01
