# Data format: "%int(ChipTimeUS),%float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ),%float(RawAccelX),%float(RawAccelY),%float(RawAccelZ)"
833189264,-0.01761,1.00087,0.00300,-0.07324,1.00977,0.00000
833193897,-0.02066,0.99802,0.00602,-0.07617,1.00684,0.00293
833198738,-0.01476,0.99596,0.00484,-0.07031,1.00488,0.00195
833203581,-0.03229,1.00800,0.00643,-0.08789,1.01660,0.00293
833208423,-0.02181,0.99402,-0.00376,-0.07715,1.00293,-0.00684
833213260,-0.01969,0.99795,0.00109,-0.07520,1.00684,-0.00195
833218102,-0.02067,0.99706,0.00798,-0.07617,1.00586,0.00488
833222931,-0.02478,0.99316,0.00319,-0.08008,1.00195,0.00000
833227767,-0.02627,1.00988,0.00821,-0.08203,1.01855,0.00488
833232611,-0.01942,1.00588,0.01091,-0.07520,1.01465,0.00781
833237247,-0.02065,0.99894,0.00112,-0.07617,1.00781,-0.00195
833242078,-0.02252,1.00198,0.00708,-0.07813,1.01074,0.00391
833246922,-0.02459,1.00000,0.00223,-0.08008,1.00879,-0.00098
833251766,-0.02056,1.00189,0.00211,-0.07617,1.01074,-0.00098
833256607,-0.02332,1.00885,0.00811,-0.07910,1.01758,0.00488
833261445,-0.02456,1.00099,0.00322,-0.08008,1.00977,0.00000
833266280,-0.02378,0.99225,0.01099,-0.07910,1.00098,0.00781
833271118,-0.02447,1.00301,0.00910,-0.08008,1.01172,0.00586
833275757,-0.02570,0.99609,0.00127,-0.08105,1.00488,-0.00195
833280601,-0.02374,0.99509,0.00219,-0.07910,1.00391,-0.00098
833285441,-0.02158,1.00094,0.00312,-0.07715,1.00977,0.00000
833290276,-0.01842,1.00678,0.00501,-0.07422,1.01563,0.00195
833295108,-0.02451,1.00202,0.00812,-0.08008,1.01074,0.00488
833299940,-0.01868,0.99798,0.00498,-0.07422,1.00684,0.00195
833304778,-0.01749,1.00481,0.00497,-0.07324,1.01367,0.00195
833309615,-0.02166,0.99802,0.00409,-0.07715,1.00684,0.00098
833314244,-0.02238,1.00688,0.00807,-0.07813,1.01563,0.00488
833319088,-0.02056,1.00099,0.00897,-0.07617,1.00977,0.00586
833323933,-0.02154,1.00195,0.00606,-0.07715,1.01074,0.00293
833328784,-0.02154,1.00195,0.00606,-0.07715,1.01074,0.00293
833333625,-0.02161,0.99996,0.00312,-0.07715,1.00879,0.00000
833338462,-0.02368,0.99705,0.00219,-0.07910,1.00586,-0.00098
833343311,-0.02380,0.99221,0.00707,-0.07910,1.00098,0.00391
833348143,-0.01867,0.99800,0.00694,-0.07422,1.00684,0.00391
833352986,-0.02146,1.00486,0.00411,-0.07715,1.01367,0.00098
833357619,-0.02150,1.00387,0.00313,-0.07715,1.01270,0.00000
833362455,-0.01741,1.00773,0.00400,-0.07324,1.01660,0.00098
833367295,-0.01879,0.99405,0.00398,-0.07422,1.00293,0.00098
833372136,-0.01969,0.99703,0.00598,-0.07520,1.00586,0.00293
833376977,-0.02346,1.00395,0.00711,-0.07910,1.01270,0.00391
833381817,-0.02355,1.00100,0.00612,-0.07910,1.00977,0.00293
833386657,-0.01762,0.99994,0.00691,-0.07324,1.00879,0.00391
833391504,-0.02269,0.99702,0.00118,-0.07813,1.00586,-0.00195
833396141,-0.02156,1.00098,0.00704,-0.07715,1.00977,0.00391
833400975,-0.02349,1.00387,0.00026,-0.07910,1.01270,-0.00293
833405824,-0.02655,1.00009,0.00720,-0.08203,1.00879,0.00391
833410661,-0.02363,0.99807,0.00611,-0.07910,1.00684,0.00293
833415495,-0.02555,1.00099,0.00227,-0.08105,1.00977,-0.00098
833420338,-0.02547,1.00394,0.00326,-0.08105,1.01270,0.00000
833425172,-0.02551,1.00201,0.00619,-0.08105,1.01074,0.00293
833430006,-0.01874,0.99600,0.00301,-0.07422,1.00488,0.00000
833434843,-0.02254,1.00194,0.00414,-0.07813,1.01074,0.00098
833439480,-0.02077,0.99410,0.00503,-0.07617,1.00293,0.00195
833444322,-0.01763,0.99991,0.00397,-0.07324,1.00879,0.00098
833449162,-0.02549,1.00205,0.00913,-0.08105,1.01074,0.00586
833454003,-0.02649,1.00298,0.00329,-0.08203,1.01172,0.00000
833458836,-0.02365,0.99803,0.00220,-0.07910,1.00684,-0.00098
833463675,-0.01969,0.99703,0.00598,-0.07520,1.00586,0.00293
833468518,-0.01967,0.99799,0.00501,-0.07520,1.00684,0.00195
833473352,-0.02246,1.00394,0.00806,-0.07813,1.01270,0.00488
833477991,-0.02060,0.99998,0.00603,-0.07617,1.00879,0.00293
833482823,-0.02159,1.00000,0.00704,-0.07715,1.00879,0.00391
833487660,-0.02044,1.00582,0.00409,-0.07617,1.01465,0.00098
833492495,-0.02034,1.00973,0.00312,-0.07617,1.01855,0.00000
833497330,-0.02137,1.00874,0.00119,-0.07715,1.01758,-0.00195
833502162,-0.02140,1.00684,0.00608,-0.07715,1.01563,0.00293
833506998,-0.02366,0.99709,0.00611,-0.07910,1.00586,0.00293
833511837,-0.02535,1.00786,0.00425,-0.08105,1.01660,0.00098
833516473,-0.02234,1.00880,0.00514,-0.07813,1.01758,0.00195
833521316,-0.01871,0.99699,0.00399,-0.07422,1.00586,0.00098
