# time,Voltage_channel_1,Voltage_channel_2
1.911999999999999990e-05,6.399975999999999929e-04,7.999818000000000207e-02
1.919999999999999913e-05,-8.000249000000000455e-05,7.999818000000000207e-02
1.928000000000000175e-05,7.599975999999999824e-04,5.999817999999999818e-02
1.936000000000000099e-05,-2.488377999999999821e-09,7.999818000000000207e-02
1.944000000000000022e-05,9.199977000000000025e-04,3.999818000000000123e-02
1.951999999999999946e-05,9.599976999999999989e-04,7.999818000000000207e-02
1.960000000000000208e-05,2.799974999999999903e-04,3.999818000000000123e-02
1.968000000000000131e-05,2.799974999999999903e-04,5.999817999999999818e-02
1.976000000000000055e-05,9.999977000000001039e-04,7.999818000000000207e-02
1.983999999999999978e-05,9.999977000000001039e-04,5.999817999999999818e-02
1.991999999999999901e-05,1.599975000000000008e-04,7.999818000000000207e-02
2.000000000000000164e-05,1.199975000000000043e-04,5.999817999999999818e-02
2.008000000000000087e-05,9.999977000000001039e-04,7.999818000000000207e-02
2.016000000000000010e-05,2.799974999999999903e-04,7.999818000000000207e-02
2.023999999999999934e-05,9.999977000000001039e-04,5.999817999999999818e-02
2.032000000000000196e-05,9.199977000000000025e-04,7.999818000000000207e-02
2.040000000000000119e-05,1.999974999999999973e-04,5.999817999999999818e-02
2.048000000000000043e-05,9.199977000000000025e-04,7.999818000000000207e-02
2.055999999999999966e-05,-4.000249000000000128e-05,5.999817999999999818e-02
2.063999999999999890e-05,7.599975999999999824e-04,5.999817999999999818e-02
2.072000000000000152e-05,7.999750999999999499e-05,7.999818000000000207e-02
2.080000000000000075e-05,7.599975999999999824e-04,5.999817999999999818e-02
2.087999999999999999e-05,-8.000249000000000455e-05,7.999818000000000207e-02
2.095999999999999922e-05,7.199975999999999859e-04,7.999818000000000207e-02
2.104000000000000184e-05,-1.600024999999999982e-04,5.999817999999999818e-02
2.112000000000000108e-05,6.399975999999999929e-04,7.999818000000000207e-02
2.120000000000000031e-05,-2.000024999999999947e-04,5.999817999999999818e-02
2.127999999999999955e-05,6.399975999999999929e-04,7.999818000000000207e-02
2.135999999999999878e-05,-2.000024999999999947e-04,5.999817999999999818e-02
2.144000000000000140e-05,-2.800025000000000148e-04,5.999817999999999818e-02
2.152000000000000064e-05,5.999975999999999964e-04,7.999818000000000207e-02
2.159999999999999987e-05,6.399975999999999929e-04,7.999818000000000207e-02
2.167999999999999910e-05,-3.200025000000000113e-04,5.999817999999999818e-02
2.176000000000000173e-05,5.999975999999999964e-04,5.999817999999999818e-02
2.184000000000000096e-05,-2.800025000000000148e-04,7.999818000000000207e-02
2.192000000000000019e-05,4.799975000000000270e-04,7.999818000000000207e-02
2.199999999999999943e-05,-2.800025000000000148e-04,5.999817999999999818e-02
2.208000000000000205e-05,4.799975000000000270e-04,7.999818000000000207e-02
2.216000000000000128e-05,-2.800025000000000148e-04,5.999817999999999818e-02
2.224000000000000052e-05,4.799975000000000270e-04,7.999818000000000207e-02
2.231999999999999975e-05,-3.600025000000000078e-04,5.999817999999999818e-02
2.239999999999999899e-05,5.599975999999999999e-04,7.999818000000000207e-02
2.248000000000000161e-05,-3.200025000000000113e-04,5.999817999999999818e-02
2.256000000000000084e-05,4.799975000000000270e-04,7.999818000000000207e-02
2.264000000000000008e-05,-4.400025000000000008e-04,5.999817999999999818e-02
2.271999999999999931e-05,4.399974999999999763e-04,7.999818000000000207e-02
2.280000000000000193e-05,-4.400025000000000008e-04,5.999817999999999818e-02
2.288000000000000117e-05,-3.600025000000000078e-04,7.999818000000000207e-02
2.296000000000000040e-05,3.599974999999999833e-04,5.999817999999999818e-02
2.303999999999999964e-05,3.599974999999999833e-04,7.999818000000000207e-02
2.311999999999999887e-05,-4.400025000000000008e-04,5.999817999999999818e-02
2.320000000000000149e-05,3.599974999999999833e-04,5.999817999999999818e-02
2.328000000000000073e-05,-3.600025000000000078e-04,7.999818000000000207e-02
2.335999999999999996e-05,2.799974999999999903e-04,5.999817999999999818e-02
2.343999999999999919e-05,-5.200025999999999737e-04,1.199981999999999993e-01
2.352000000000000182e-05,1.199975000000000043e-04,7.999818000000000207e-02
2.360000000000000105e-05,-6.800025999999999597e-04,5.999817999999999818e-02
2.368000000000000028e-05,-6.400025999999999632e-04,1.199981999999999993e-01
2.375999999999999952e-05,1.199975000000000043e-04,5.999817999999999818e-02
2.384000000000000214e-05,-8.000026999999999833e-04,5.999817999999999818e-02
2.392000000000000137e-05,3.999750999999999849e-05,1.199981999999999993e-01
2.400000000000000061e-05,1.199975000000000043e-04,5.999817999999999818e-02
2.407999999999999984e-05,-6.400025999999999632e-04,9.999818000000000595e-02
2.415999999999999908e-05,1.199975000000000043e-04,5.999817999999999818e-02
2.424000000000000170e-05,-6.400025999999999632e-04,9.999818000000000595e-02
2.432000000000000093e-05,2.799974999999999903e-04,5.999817999999999818e-02
2.440000000000000017e-05,-6.400025999999999632e-04,9.999818000000000595e-02
2.447999999999999940e-05,-6.400025999999999632e-04,7.999818000000000207e-02
2.456000000000000202e-05,1.599975000000000008e-04,5.999817999999999818e-02
2.464000000000000126e-05,-4.400025000000000008e-04,7.999818000000000207e-02
2.472000000000000049e-05,4.799975000000000270e-04,5.999817999999999818e-02
2.479999999999999972e-05,-3.200025000000000113e-04,7.999818000000000207e-02
2.487999999999999896e-05,3.599974999999999833e-04,5.999817999999999818e-02
2.496000000000000158e-05,-2.000024999999999947e-04,7.999818000000000207e-02
2.504000000000000082e-05,5.599975999999999999e-04,5.999817999999999818e-02
2.512000000000000005e-05,4.799975000000000270e-04,7.999818000000000207e-02
2.519999999999999928e-05,-2.000024999999999947e-04,5.999817999999999818e-02
2.528000000000000191e-05,4.799975000000000270e-04,7.999818000000000207e-02
2.536000000000000114e-05,-3.600025000000000078e-04,5.999817999999999818e-02
2.544000000000000037e-05,-1.600024999999999982e-04,7.999818000000000207e-02
2.551999999999999961e-05,5.999975999999999964e-04,5.999817999999999818e-02
2.559999999999999884e-05,5.999975999999999964e-04,7.999818000000000207e-02
2.568000000000000146e-05,-3.600025000000000078e-04,5.999817999999999818e-02
2.576000000000000070e-05,-1.600024999999999982e-04,7.999818000000000207e-02
2.583999999999999993e-05,6.399975999999999929e-04,5.999817999999999818e-02
2.591999999999999917e-05,-4.000249000000000128e-05,7.999818000000000207e-02
2.600000000000000179e-05,6.399975999999999929e-04,5.999817999999999818e-02
2.608000000000000102e-05,-2.000024999999999947e-04,7.999818000000000207e-02
2.616000000000000026e-05,7.599975999999999824e-04,5.999817999999999818e-02
2.623999999999999949e-05,-8.000249000000000455e-05,7.999818000000000207e-02
2.632000000000000211e-05,6.399975999999999929e-04,5.999817999999999818e-02
2.640000000000000135e-05,5.999975999999999964e-04,7.999818000000000207e-02
2.648000000000000058e-05,-2.800025000000000148e-04,5.999817999999999818e-02
2.655999999999999981e-05,-1.600024999999999982e-04,7.999818000000000207e-02
2.663999999999999905e-05,5.999975999999999964e-04,5.999817999999999818e-02
2.672000000000000167e-05,6.399975999999999929e-04,5.999817999999999818e-02
