# time,Voltage_channel_1,Voltage_channel_2,Voltage_channel_3
1.264000000000000095e-05,5.999975999999999964e-04,1.999818000000000082e-02,4.000011999999999947e-04
1.268000000000000057e-05,-1.600024999999999982e-04,-2.000182000000000002e-02,-6.799988999999999990e-04
1.272000000000000019e-05,-8.000249000000000455e-05,1.999818000000000082e-02,3.200012000000000017e-04
1.275999999999999980e-05,5.999975999999999964e-04,-2.000182000000000002e-02,-5.199987999999999789e-04
1.279999999999999942e-05,-2.800025000000000148e-04,-2.000182000000000002e-02,4.000011999999999947e-04
1.284000000000000073e-05,6.399975999999999929e-04,1.999818000000000082e-02,-6.399989000000000025e-04
1.288000000000000035e-05,-8.000249000000000455e-05,1.999818000000000082e-02,5.200012999999999641e-04
1.291999999999999997e-05,6.399975999999999929e-04,-2.000182000000000002e-02,-5.199987999999999789e-04
1.295999999999999958e-05,-1.600024999999999982e-04,1.999818000000000082e-02,-6.399989000000000025e-04
1.300000000000000089e-05,6.399975999999999929e-04,-2.000182000000000002e-02,5.600012999999999606e-04
1.304000000000000051e-05,5.999975999999999964e-04,1.999818000000000082e-02,-4.399987999999999859e-04
1.308000000000000013e-05,-1.600024999999999982e-04,-2.000182000000000002e-02,6.800012999999999501e-04
1.311999999999999975e-05,5.999975999999999964e-04,1.999818000000000082e-02,5.200012999999999641e-04
1.316000000000000106e-05,-2.800025000000000148e-04,-2.000182000000000002e-02,-5.199987999999999789e-04
1.320000000000000067e-05,-2.000024999999999947e-04,-2.000182000000000002e-02,-5.199987999999999789e-04
1.324000000000000029e-05,5.599975999999999999e-04,1.999818000000000082e-02,5.200012999999999641e-04
1.327999999999999991e-05,7.599975999999999824e-04,1.999818000000000082e-02,-4.799987999999999824e-04
1.331999999999999952e-05,-4.000249000000000128e-05,-2.000182000000000002e-02,5.200012999999999641e-04
1.336000000000000084e-05,7.599975999999999824e-04,1.999818000000000082e-02,5.600012999999999606e-04
1.340000000000000045e-05,-8.000249000000000455e-05,-2.000182000000000002e-02,-2.799987999999999999e-04
1.344000000000000007e-05,-8.000249000000000455e-05,-2.000182000000000002e-02,-2.799987999999999999e-04
1.347999999999999969e-05,6.399975999999999929e-04,1.999818000000000082e-02,8.800013999999999666e-04
1.352000000000000100e-05,5.999975999999999964e-04,1.999818000000000082e-02,-3.999875999999999784e-05
1.356000000000000061e-05,-1.600024999999999982e-04,-2.000182000000000002e-02,6.800012999999999501e-04
1.360000000000000023e-05,5.999975999999999964e-04,1.999818000000000082e-02,8.000013999999999736e-04
1.363999999999999985e-05,-4.000249000000000128e-05,-2.000182000000000002e-02,-2.799987999999999999e-04
1.367999999999999947e-05,-8.000249000000000455e-05,-2.000182000000000002e-02,-1.599988000000000105e-04
1.372000000000000078e-05,6.399975999999999929e-04,1.999818000000000082e-02,7.200012999999999466e-04
1.376000000000000039e-05,5.999975999999999964e-04,1.999818000000000082e-02,-3.199987999999999964e-04
1.380000000000000001e-05,-1.600024999999999982e-04,-2.000182000000000002e-02,8.000013999999999736e-04
1.383999999999999963e-05,-1.600024999999999982e-04,1.999818000000000082e-02,-2.799987999999999999e-04
1.388000000000000094e-05,7.599975999999999824e-04,-2.000182000000000002e-02,8.800013999999999666e-04
1.392000000000000056e-05,-2.488377999999999821e-09,1.999818000000000082e-02,6.800012999999999501e-04
1.396000000000000017e-05,8.399977000000000095e-04,-2.000182000000000002e-02,-2.799987999999999999e-04
1.399999999999999979e-05,1.999974999999999973e-04,-2.000182000000000002e-02,8.800013999999999666e-04
1.404000000000000110e-05,9.999977000000001039e-04,1.999818000000000082e-02,-1.599988000000000105e-04
1.408000000000000072e-05,2.799974999999999903e-04,1.999818000000000082e-02,8.400013999999999701e-04
1.412000000000000034e-05,9.599976999999999989e-04,-2.000182000000000002e-02,-3.199987999999999964e-04
1.415999999999999995e-05,1.599975000000000008e-04,1.999818000000000082e-02,-1.599988000000000105e-04
1.419999999999999957e-05,9.599976999999999989e-04,-2.000182000000000002e-02,8.000013999999999736e-04
1.424000000000000088e-05,1.199975000000000043e-04,1.999818000000000082e-02,-3.999875999999999784e-05
1.428000000000000050e-05,9.199977000000000025e-04,-2.000182000000000002e-02,8.000013999999999736e-04
1.432000000000000011e-05,-4.000249000000000128e-05,1.999818000000000082e-02,8.400013999999999701e-04
1.435999999999999973e-05,9.599976999999999989e-04,-2.000182000000000002e-02,-1.599988000000000105e-04
1.440000000000000104e-05,9.199977000000000025e-04,1.999818000000000082e-02,-3.999875999999999784e-05
1.444000000000000066e-05,1.599975000000000008e-04,-2.000182000000000002e-02,8.800013999999999666e-04
1.448000000000000028e-05,2.799974999999999903e-04,1.999818000000000082e-02,8.400013999999999701e-04
1.451999999999999989e-05,9.199977000000000025e-04,-2.000182000000000002e-02,-3.999875999999999784e-05
1.455999999999999951e-05,9.199977000000000025e-04,1.999818000000000082e-02,-1.199988000000000004e-04
1.460000000000000082e-05,1.599975000000000008e-04,-2.000182000000000002e-02,8.800013999999999666e-04
1.464000000000000044e-05,9.199977000000000025e-04,1.999818000000000082e-02,-1.599988000000000105e-04
1.468000000000000006e-05,1.999974999999999973e-04,-2.000182000000000002e-02,1.000000999999999928e-03
1.471999999999999967e-05,1.599975000000000008e-04,1.999818000000000082e-02,-3.999875999999999784e-05
1.476000000000000098e-05,9.199977000000000025e-04,-2.000182000000000002e-02,1.000000999999999928e-03
1.480000000000000060e-05,1.199975000000000043e-04,1.999818000000000082e-02,-3.999875999999999784e-05
1.484000000000000022e-05,9.199977000000000025e-04,-2.000182000000000002e-02,1.080000999999999921e-03
1.487999999999999983e-05,1.199975000000000043e-04,1.999818000000000082e-02,9.600013999999999596e-04
1.492000000000000115e-05,8.399977000000000095e-04,-2.000182000000000002e-02,1.236912999999999945e-09
1.496000000000000076e-05,7.999977000000000130e-04,1.999818000000000082e-02,-1.599988000000000105e-04
1.500000000000000038e-05,1.999974999999999973e-04,-2.000182000000000002e-02,1.040001000000000033e-03
1.504000000000000000e-05,7.599975999999999824e-04,1.999818000000000082e-02,2.000012000000000122e-04
