# Frequency, Frequency_g, g, Frequency_V, RMS_V, Phase_V
8.100000000000000000e+01,8.064516000000000417e+01,2.599730000000000096e-01,8.064516000000000417e+01,1.635616000000000014e-01,-1.146774000000000058e+02
8.150000000000000000e+01,8.130082000000000164e+01,2.798914000000000124e-01,8.130082000000000164e+01,1.751749999999999974e-01,-1.185366000000000071e+02
8.200000000000000000e+01,8.196721999999999753e+01,2.781228000000000034e-01,8.130082000000000164e+01,1.728435000000000110e-01,-1.254098000000000042e+02
8.250000000000000000e+01,8.196721999999999753e+01,2.768056999999999879e-01,8.130082000000000164e+01,1.706246999999999903e-01,-1.224590000000000032e+02
8.300000000000000000e+01,8.264463000000000648e+01,2.753613999999999784e-01,8.264463000000000648e+01,1.685070999999999930e-01,-1.264462999999999937e+02
8.350000000000000000e+01,8.333334000000000685e+01,2.783392000000000088e-01,8.264463000000000648e+01,1.694656999999999969e-01,-1.275000000000000000e+02
8.400000000000000000e+01,8.333334000000000685e+01,2.767528000000000210e-01,8.333334000000000685e+01,1.673280000000000045e-01,-1.255461999999999989e+02
8.450000000000000000e+01,8.403361999999999910e+01,2.752975999999999757e-01,8.403361999999999910e+01,1.653879000000000044e-01,-1.225210000000000008e+02
8.500000000000000000e+01,8.474576000000000420e+01,2.739832999999999852e-01,8.474576000000000420e+01,1.634267000000000081e-01,-1.194958000000000027e+02
8.550000000000000000e+01,8.474576000000000420e+01,2.726651999999999965e-01,8.474576000000000420e+01,1.615602999999999900e-01,-1.266102000000000061e+02
8.600000000000000000e+01,8.547008999999999901e+01,2.712758000000000114e-01,8.547008999999999901e+01,1.599166999999999950e-01,-1.246153999999999940e+02
8.650000000000000000e+01,8.547008999999999901e+01,2.703871999999999942e-01,8.620689000000000135e+01,1.579762999999999862e-01,-1.276923000000000030e+02
8.700000000000000000e+01,8.620689000000000135e+01,2.696959999999999913e-01,8.620689000000000135e+01,1.562991999999999992e-01,-1.256897000000000020e+02
8.750000000000000000e+01,8.695651999999999759e+01,2.683106000000000102e-01,8.695651999999999759e+01,1.548731999999999887e-01,-1.267826000000000022e+02
8.800000000000000000e+01,8.771930000000000405e+01,2.677731999999999890e-01,8.771930000000000405e+01,1.535443999999999976e-01,-1.247368000000000023e+02
8.850000000000000000e+01,8.849557000000000073e+01,2.713497999999999744e-01,8.849557000000000073e+01,1.540320000000000022e-01,-1.258406999999999982e+02
8.900000000000000000e+01,8.849557000000000073e+01,2.708858000000000099e-01,8.849557000000000073e+01,1.527083999999999941e-01,-1.258406999999999982e+02
8.950000000000000000e+01,8.928571999999999775e+01,2.706738000000000199e-01,8.849557000000000073e+01,1.504572000000000132e-01,-1.237500000000000000e+02
9.000000000000000000e+01,8.928571999999999775e+01,2.703047000000000089e-01,8.928571999999999775e+01,1.490921000000000052e-01,-1.237500000000000000e+02
9.050000000000000000e+01,9.009010000000000673e+01,2.702816000000000107e-01,9.009010000000000673e+01,1.477113999999999927e-01,-1.248649000000000058e+02
9.100000000000000000e+01,9.009010000000000673e+01,2.704316999999999971e-01,9.009010000000000673e+01,1.463597000000000092e-01,-1.248649000000000058e+02
